path,label,seriesuid
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.123654356399290048011621921476_41258_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.123654356399290048011621921476
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.257515388956260258681136624817_287055_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.257515388956260258681136624817
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.229096941293122177107846044795_237348_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.229096941293122177107846044795
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.277662902666135640561346462196_320344_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.277662902666135640561346462196
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.150097650621090951325113116280_94429_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.150097650621090951325113116280
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.308183340111270052562662456038_369189_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.308183340111270052562662456038
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.199975006921901879512837687266_183330_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.199975006921901879512837687266
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.249450003033735700817635168066_273963_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.249450003033735700817635168066
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.126631670596873065041988320084_49337_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.126631670596873065041988320084
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.278010349511857248000260557753_321399_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.278010349511857248000260557753
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.162207236104936931957809623059_111933_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.162207236104936931957809623059
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.168833925301530155818375859047_123369_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.168833925301530155818375859047
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.116703382344406837243058680403_29305_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.116703382344406837243058680403
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.270390050141765094612147226290_307305_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.270390050141765094612147226290
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.283878926524838648426928238498_329138_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.283878926524838648426928238498
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.197063290812663596858124411210_178045_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.197063290812663596858124411210
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.187966156856911682643615997798_160313_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.187966156856911682643615997798
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.300136985030081433029390459071_350780_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.300136985030081433029390459071
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.282779922503707013097174625409_327509_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.282779922503707013097174625409
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.162845309248822193437735868939_113799_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.162845309248822193437735868939
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.271220641987745483198036913951_308920_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.271220641987745483198036913951
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.186021279664749879526003668137_157966_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.186021279664749879526003668137
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.139444426690868429919252698606_71109_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.139444426690868429919252698606
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.116492508532884962903000261147_28297_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.116492508532884962903000261147
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.334184846571549530235084187602_411127_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.334184846571549530235084187602
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.286627485198831346082954437212_331658_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.286627485198831346082954437212
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.268030488196493755113553009785_301900_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.268030488196493755113553009785
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.504845428620607044098514803031_63149_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.504845428620607044098514803031
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.128881800399702510818644205032_51899_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.128881800399702510818644205032
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.138904664700896606480369521124_69976_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.138904664700896606480369521124
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.243094273518213382155770295147_261082_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.243094273518213382155770295147
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037_360810_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.120842785645314664964010792308_34119_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.120842785645314664964010792308
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.404364125369979066736354549484_37262_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.404364125369979066736354549484
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.272123398257168239653655006815_310203_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.272123398257168239653655006815
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.140239815496047437552471323962_74431_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.140239815496047437552471323962
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.161073793312426102774780216551_109951_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.161073793312426102774780216551
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.310395752124284049604069960014_372592_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.310395752124284049604069960014
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.238019241099704094018548301753_252691_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.238019241099704094018548301753
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.143622857676008763729469324839_81784_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.143622857676008763729469324839
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.279300249795483097365868125932_322435_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.279300249795483097365868125932
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.233433352108264931671753343044_247162_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.233433352108264931671753343044
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.292049618819567427252971059233_337327_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.292049618819567427252971059233
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.156821379677057223126714881626_104551_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.156821379677057223126714881626
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.330643702676971528301859647742_405884_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.330643702676971528301859647742
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371_121367_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.373433682859788429397781158572_426966_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.373433682859788429397781158572
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.160586340600816116143631200450_108091_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.160586340600816116143631200450
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345_97237_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.332453873575389860371315979768_407335_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.332453873575389860371315979768
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.338114620394879648539943280992_416933_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.338114620394879648539943280992
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.249032660919473722154870746474_271581_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.249032660919473722154870746474
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.187108608022306504546286626125_158132_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.187108608022306504546286626125
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663_342161_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.153536305742006952753134773630_98486_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.153536305742006952753134773630
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446_397422_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.324649110927013926557500550446
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.102681962408431413578140925249_6757_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.102681962408431413578140925249
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.294188507421106424248264912111_341400_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.294188507421106424248264912111
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.208511362832825683639135205368_200590_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.208511362832825683639135205368
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.269075535958871753309238331179_304402_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.269075535958871753309238331179
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.270390050141765094612147226290_307508_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.270390050141765094612147226290
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.339882192295517122002429068974_422844_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.339882192295517122002429068974
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.149041668385192796520281592139_92794_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.149041668385192796520281592139
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.323426705628838942177546503237_392676_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.323426705628838942177546503237
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.336894364358709782463716339027_415061_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.336894364358709782463716339027
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.652347820272212119124022644822_83418_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.652347820272212119124022644822
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.100620385482151095585000946543_2963_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.100620385482151095585000946543
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.177888806135892723698313903329_145133_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.177888806135892723698313903329
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.112767175295249119452142211437_22532_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.112767175295249119452142211437
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.217589936421986638139451480826_214850_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.217589936421986638139451480826
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.148229375703208214308676934766_90997_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.148229375703208214308676934766
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028_20453_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680_312536_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.336225579776978874775723463327_414587_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.336225579776978874775723463327
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.272961322147784625028175033640_313783_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.272961322147784625028175033640
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.908250781706513856628130123235_134585_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.908250781706513856628130123235
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.172573195301625265149778785969_130319_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.172573195301625265149778785969
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.439153572396640163898529626096_44943_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.439153572396640163898529626096
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.275849601663847251574860892603_317512_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.275849601663847251574860892603
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514_48223_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.246758220302211646532176593724_268845_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.246758220302211646532176593724
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.235217371152464582553341729176_249231_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.235217371152464582553341729176
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.310548927038333190233889983845_373125_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.310548927038333190233889983845
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.110678335949765929063942738609_18770_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.110678335949765929063942738609
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.194465340552956447447896167830_173513_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.194465340552956447447896167830
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345_97261_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.249404938669582150398726875826_273222_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.249404938669582150398726875826
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.118140393257625250121502185026_31654_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.118140393257625250121502185026
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.257383535269991165447822992959_286849_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.257383535269991165447822992959
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.184412674007117333405073397832_155927_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.184412674007117333405073397832
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.238042459915048190592571019348_253423_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.238042459915048190592571019348
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.238019241099704094018548301753_252667_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.238019241099704094018548301753
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.272259794130271010519952623746_311234_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.272259794130271010519952623746
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.316911475886263032009840828684_386268_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.316911475886263032009840828684
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.315187221221054114974341475212_383117_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.315187221221054114974341475212
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.146987333806092287055399155268_89120_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.146987333806092287055399155268
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.295298571102631191572192562523_341638_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.295298571102631191572192562523
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.202476538079060560282495099956_190267_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.202476538079060560282495099956
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.908250781706513856628130123235_134563_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.908250781706513856628130123235
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.264090899378396711987322794314_295797_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.264090899378396711987322794314
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.230675342744370103160629638194_242801_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.230675342744370103160629638194
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.603126300703296693942875967838_75361_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.603126300703296693942875967838
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.153985109349433321657655488650_100467_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.153985109349433321657655488650
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.134519406153127654901640638633_61896_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.134519406153127654901640638633
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228_393566_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.153985109349433321657655488650_100813_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.153985109349433321657655488650
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208_1303_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.792381786708289670758399079830_114574_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.792381786708289670758399079830
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.116703382344406837243058680403_29353_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.116703382344406837243058680403
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.202283133206014258077705539227_189104_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.202283133206014258077705539227
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.362762275895885013176610377950_425900_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.362762275895885013176610377950
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.199261544234308780356714831537_182021_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.199261544234308780356714831537
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.205852555362702089950453265567_197424_label0.npy,0,1.3.6.1.4.1.14519.5.2.1.6279.6001.205852555362702089950453265567
patches_candidates\1.3.6.1.4.1.14519.5.2.1.6279.6001.270390050141765094612147226290_307439_label1.npy,1,1.3.6.1.4.1.14519.5.2.1.6279.6001.270390050141765094612147226290
